,lenght,type_of_gene
ENSG00000174145,205245.0,protein-coding
ENSG00000243896,7129.0,protein-coding
ENSG00000232230,,unknown
ENSG00000100116,9271.0,protein-coding
ENSG00000137776,54608.0,protein-coding
ENSG00000231396,1951.0,protein-coding
ENSG00000168434,64687.0,protein-coding
ENSG00000175063,4381.0,protein-coding
ENSG00000268364,,unknown
ENSG00000119041,36693.0,protein-coding
ENSG00000249565,,unknown
ENSG00000250256,,unknown
ENSG00000213177,,unknown
ENSG00000243568,,unknown
ENSG00000147854,93903.0,protein-coding
ENSG00000241353,,unknown
ENSG00000069966,76264.0,protein-coding
ENSG00000110876,11682.0,protein-coding
ENSG00000221072,,unknown
ENSG00000223286,,unknown
ENSG00000253641,,ncRNA
ENSG00000088930,86523.0,protein-coding
ENSG00000222339,,unknown
ENSG00000152439,18489.0,protein-coding
ENSG00000260037,,unknown
ENSG00000279169,5079.0,protein-coding
ENSG00000100124,18472.0,protein-coding
ENSG00000137054,17762.0,protein-coding
ENSG00000223307,,unknown
ENSG00000239050,,unknown
ENSG00000140107,7041.0,protein-coding
ENSG00000270858,,unknown
ENSG00000201608,,unknown
ENSG00000259384,1638.0,protein-coding
ENSG00000163577,20278.0,protein-coding
ENSG00000227096,,unknown
ENSG00000183019,3198.0,protein-coding
ENSG00000221029,,unknown
ENSG00000163947,351911.0,protein-coding
ENSG00000260973,,unknown
ENSG00000254655,,unknown
ENSG00000167531,2382.0,protein-coding
ENSG00000247626,3018.0,protein-coding
ENSG00000013293,126490.0,protein-coding
ENSG00000249449,,unknown
ENSG00000281267,,unknown
ENSG00000271205,,unknown
ENSG00000259116,,ncRNA
ENSG00000199212,,snoRNA
ENSG00000107833,2088.0,protein-coding
ENSG00000254358,,unknown
ENSG00000224830,,unknown
ENSG00000123124,135682.0,protein-coding
ENSG00000239706,,unknown
ENSG00000277744,,unknown
ENSG00000276100,,unknown
ENSG00000238183,,unknown
ENSG00000253652,,unknown
ENSG00000259636,,ncRNA
ENSG00000237041,,unknown
ENSG00000225077,,unknown
ENSG00000184863,137034.0,protein-coding
ENSG00000146670,17864.0,protein-coding
ENSG00000251611,,unknown
ENSG00000255829,,unknown
ENSG00000263017,,unknown
ENSG00000255011,,unknown
ENSG00000114503,7195.0,protein-coding
ENSG00000271219,,unknown
ENSG00000175061,,ncRNA
ENSG00000265037,,unknown
ENSG00000263441,,unknown
ENSG00000273499,,unknown
ENSG00000102890,4918.0,protein-coding
ENSG00000260519,,unknown
ENSG00000249772,,unknown
ENSG00000141540,48506.0,protein-coding
ENSG00000188505,4923.0,protein-coding
ENSG00000242628,,unknown
ENSG00000111450,49666.0,protein-coding
ENSG00000269951,,unknown
ENSG00000267611,,unknown
ENSG00000259503,,unknown
ENSG00000231453,,intergenic
ENSG00000136535,9776.0,protein-coding
ENSG00000147679,82960.0,protein-coding
ENSG00000275476,,unknown
ENSG00000268686,,ncRNA
ENSG00000234639,,unknown
ENSG00000159086,37959.0,protein-coding
ENSG00000180596,9053.0,protein-coding
ENSG00000253226,,unknown
ENSG00000171621,76652.0,protein-coding
ENSG00000277129,,unknown
ENSG00000237342,,unknown
ENSG00000268505,,unknown
ENSG00000147799,76637.0,protein-coding
ENSG00000257411,,unknown
ENSG00000007402,141445.0,protein-coding
ENSG00000254362,,unknown
ENSG00000126950,17644.0,protein-coding
ENSG00000255417,,unknown
ENSG00000267656,,unknown
ENSG00000182578,60081.0,protein-coding
ENSG00000241221,,unknown
ENSG00000225523,,unknown
ENSG00000258478,,unknown
ENSG00000275948,,unknown
ENSG00000201382,,unknown
ENSG00000149823,22536.0,protein-coding
ENSG00000221527,,unknown
ENSG00000261806,,unknown
ENSG00000250712,,unknown
ENSG00000225230,,unknown
ENSG00000101298,43048.0,protein-coding
ENSG00000267035,,unknown
ENSG00000219262,,unknown
ENSG00000165660,34885.0,protein-coding
ENSG00000248846,,unknown
ENSG00000226310,,unknown
ENSG00000256912,,unknown
ENSG00000228364,,unknown
ENSG00000160223,23952.0,protein-coding
ENSG00000232353,,unknown
ENSG00000125895,4854.0,protein-coding
ENSG00000256196,,unknown
ENSG00000271981,,unknown
ENSG00000227505,,unknown
ENSG00000201594,,unknown
ENSG00000263547,,ncRNA
ENSG00000267605,,unknown
ENSG00000236471,,unknown
ENSG00000225101,,unknown
ENSG00000258604,,unknown
ENSG00000233483,,unknown
ENSG00000169599,41878.0,protein-coding
ENSG00000183978,3557.0,protein-coding
ENSGR0000196433,,unknown
ENSG00000213290,,unknown
ENSG00000187961,5128.0,protein-coding
ENSG00000258915,,unknown
ENSG00000100399,11424.0,protein-coding
ENSG00000167491,123105.0,protein-coding
ENSG00000275741,,unknown
ENSG00000249006,,unknown
ENSG00000085185,76976.0,protein-coding
ENSG00000239057,,microRNA
ENSG00000160062,66512.0,protein-coding
ENSG00000259572,,intergenic
ENSG00000149403,477204.0,protein-coding
ENSG00000151303,,unknown
ENSG00000176797,1460.0,protein-coding
ENSG00000115902,35388.0,protein-coding
ENSG00000276477,,unknown
ENSG00000260327,,unknown
ENSG00000230084,,unknown
ENSG00000259815,,unknown
ENSG00000274350,,unknown
ENSG00000254566,,unknown
ENSG00000234618,,unknown
ENSG00000233502,,unknown
ENSG00000207127,,unknown
ENSG00000281741,,ncRNA
ENSG00000258976,,unknown
ENSG00000212027,,microRNA
ENSG00000259923,,unknown
ENSG00000242261,,unknown
ENSG00000264717,4785.0,protein-coding
ENSG00000225067,,unknown
ENSG00000278873,,ncRNA
ENSG00000140263,54081.0,protein-coding
ENSG00000236977,,ncRNA
ENSG00000186234,,unknown
ENSG00000277050,,unknown
ENSG00000253383,,unknown
ENSG00000196460,77342.0,protein-coding
ENSG00000228174,,unknown
ENSG00000150776,11064.0,protein-coding
ENSG00000267599,,unknown
ENSG00000250030,,unknown
ENSG00000146842,43055.0,protein-coding
ENSG00000104888,12959.0,protein-coding
ENSG00000182986,33903.0,protein-coding
ENSG00000023697,126110.0,protein-coding
ENSG00000260525,,unknown
ENSG00000280217,,unknown
ENSG00000255232,,unknown
ENSG00000234464,,unknown
ENSG00000184110,47172.0,protein-coding
ENSG00000250897,,unknown
ENSG00000148798,13188.0,protein-coding
ENSG00000258639,,unknown
ENSG00000224617,,unknown
ENSG00000231567,,unknown
ENSG00000183831,60301.0,protein-coding
ENSG00000261146,,unknown
ENSG00000124507,69170.0,protein-coding
ENSG00000214976,,unknown
ENSG00000231742,,intergenic
ENSG00000180422,,intergenic
ENSG00000267179,,unknown
ENSG00000277133,,unknown
ENSG00000232595,,unknown
ENSG00000207128,,unknown
ENSG00000115364,44068.0,protein-coding
ENSG00000170613,4418.0,protein-coding
ENSG00000253574,,unknown
ENSG00000112182,370379.0,protein-coding
ENSG00000196378,14231.0,protein-coding
ENSG00000181617,9181.0,protein-coding
ENSG00000223565,,unknown
ENSG00000158186,57886.0,protein-coding
ENSG00000226540,,unknown
ENSG00000230727,,unknown
ENSG00000233114,,unknown
ENSG00000227140,1592.0,protein-coding
ENSG00000256779,,unknown
ENSG00000254019,2252.0,protein-coding
ENSG00000253958,2168.0,protein-coding
ENSG00000099617,14083.0,protein-coding
ENSG00000140265,12853.0,protein-coding
ENSG00000253202,,unknown
ENSG00000165555,29496.0,protein-coding
ENSG00000273353,,unknown
ENSG00000114956,32135.0,protein-coding
ENSG00000231332,,unknown
ENSG00000261448,,ncRNA
ENSG00000265799,,unknown
ENSG00000237410,,unknown
ENSG00000239961,5965.0,protein-coding
ENSG00000255119,,unknown
ENSG00000109738,96033.0,protein-coding
ENSG00000213075,,pseudo
ENSG00000207926,,microRNA
ENSG00000251113,,unknown
ENSG00000100664,11481.0,protein-coding
ENSG00000234121,,unknown
ENSG00000122644,4078.0,protein-coding
ENSG00000230967,,unknown
ENSG00000221933,6059.0,protein-coding
ENSG00000213799,23160.0,protein-coding
ENSG00000206690,,unknown
ENSG00000183808,11661.0,protein-coding
ENSG00000222468,,unknown
ENSG00000223834,,unknown
ENSG00000235347,,unknown
ENSG00000130948,66870.0,protein-coding
ENSG00000237844,,unknown
ENSG00000272255,,unknown
ENSG00000200620,,unknown
ENSG00000198933,17969.0,protein-coding
ENSG00000275880,,unknown
ENSG00000261821,,unknown
ENSG00000265964,,unknown
ENSG00000276712,,microRNA
ENSG00000176887,8718.0,protein-coding
ENSG00000235357,,unknown
ENSG00000136982,22034.0,protein-coding
ENSG00000081026,295174.0,protein-coding
ENSG00000136161,44297.0,protein-coding
ENSG00000171873,28443.0,protein-coding
ENSG00000222974,,unknown
ENSG00000108830,6795.0,protein-coding
ENSG00000186652,3863.0,protein-coding
ENSG00000205867,1117.0,protein-coding
ENSG00000260339,,antisense
ENSG00000243193,,unknown
ENSG00000221334,,unknown
ENSG00000222931,,unknown
ENSG00000212802,,unknown
ENSG00000205929,20179.0,protein-coding
ENSG00000199994,,unknown
ENSG00000198840,345.0,protein-coding
ENSG00000237351,,unknown
ENSG00000164588,441548.0,protein-coding
ENSG00000280222,,unknown
ENSG00000278263,,unknown
ENSG00000230561,238245.0,protein-coding
ENSG00000117501,129294.0,protein-coding
ENSG00000212432,,unknown
ENSG00000226695,,unknown
ENSG00000166813,46662.0,protein-coding
ENSG00000236965,,unknown
ENSG00000101911,32867.0,protein-coding
ENSG00000224162,,unknown
ENSG00000252647,,unknown
ENSG00000228653,,unknown
ENSG00000243366,,unknown
ENSG00000216368,,unknown
ENSG00000213785,,unknown
ENSG00000226681,,unknown
ENSG00000220702,,unknown
ENSG00000131143,8411.0,protein-coding
ENSG00000244615,,unknown
ENSG00000222419,,unknown
ENSG00000134107,6207.0,protein-coding
ENSG00000275208,,microRNA
ENSG00000213690,,unknown
ENSG00000241636,,unknown
ENSG00000208003,,microRNA
ENSG00000157978,25306.0,protein-coding
ENSG00000255641,,unknown
ENSG00000214988,,unknown
ENSG00000223450,,unknown
ENSG00000264562,,unknown
ENSG00000109685,110783.0,protein-coding
ENSG00000126254,8656.0,protein-coding
ENSG00000248975,,unknown
ENSG00000203469,,unknown
ENSG00000212505,,unknown
ENSG00000216166,,unknown
ENSG00000214376,32299.0,protein-coding
ENSG00000253239,,unknown
ENSG00000128274,29186.0,protein-coding
ENSG00000278582,,unknown
ENSG00000203760,8701.0,protein-coding
ENSG00000235637,,unknown
ENSG00000238205,570.0,protein-coding
ENSG00000276140,,unknown
ENSG00000272055,,unknown
ENSG00000258240,,ncRNA
ENSG00000236036,,intergenic
ENSG00000253282,,unknown
ENSG00000208013,,microRNA
ENSG00000216154,,unknown
ENSG00000240424,,unknown
ENSG00000265272,,unknown
ENSG00000224169,,unknown
ENSG00000263271,,unknown
ENSG00000226469,,unknown
ENSG00000255740,,unknown
ENSG00000171100,104703.0,protein-coding
ENSG00000280027,,unknown
ENSG00000228547,,unknown
ENSG00000236173,,unknown
ENSG00000248425,,unknown
ENSG00000272918,,unknown
ENSG00000273047,,unknown
ENSG00000228767,,unknown
ENSG00000109381,149106.0,protein-coding
ENSG00000249458,,unknown
ENSG00000207007,,unknown
ENSG00000226246,,unknown
ENSG00000158553,26267.0,protein-coding
ENSG00000251126,,unknown
ENSG00000238366,,unknown
ENSG00000249904,,unknown
ENSG00000274212,,unknown
ENSG00000254190,,unknown
ENSG00000176302,9584.0,protein-coding
ENSG00000236114,,unknown
ENSG00000232978,,unknown
ENSG00000135436,22754.0,protein-coding
ENSG00000176571,748777.0,protein-coding
ENSG00000197989,,ncRNA
ENSG00000213950,,unknown
ENSG00000167664,10199.0,protein-coding
ENSG00000137806,15170.0,protein-coding
ENSG00000279725,,unknown
ENSG00000249976,,unknown
ENSG00000230024,,unknown
ENSG00000257386,,unknown
ENSG00000221996,1123.0,protein-coding
ENSG00000196505,66145.0,protein-coding
ENSG00000261782,,unknown
ENSG00000115419,84725.0,protein-coding
ENSG00000213940,,unknown
ENSG00000205336,54928.0,protein-coding
ENSG00000125356,5175.0,protein-coding
ENSG00000276074,,unknown
ENSG00000197321,279443.0,protein-coding
ENSG00000236162,,unknown
ENSG00000260834,,unknown
ENSG00000238926,,unknown
ENSG00000244607,64984.0,protein-coding
ENSG00000257531,,unknown
ENSG00000139223,959.0,protein-coding
ENSG00000222407,,unknown
ENSG00000231110,,ncRNA
ENSG00000199914,,snoRNA
ENSG00000216762,,unknown
ENSG00000189002,,unknown
ENSG00000264030,,unknown
ENSG00000278552,,unknown
ENSG00000206776,,unknown
ENSG00000073464,80715.0,protein-coding
ENSG00000275702,,unknown
ENSG00000214381,,intergenic
ENSG00000154803,24976.0,protein-coding
ENSG00000264373,,unknown
ENSG00000175130,2547.0,protein-coding
ENSG00000234060,,unknown
ENSG00000213026,,unknown
ENSG00000186654,69134.0,protein-coding
ENSG00000229851,,antisense
ENSG00000104859,31916.0,protein-coding
ENSG00000082014,39132.0,protein-coding
ENSG00000235855,,unknown
ENSG00000239942,,unknown
ENSG00000185863,1551.0,protein-coding
ENSG00000242696,,unknown
ENSG00000264399,,microRNA
ENSG00000263279,,unknown
ENSG00000202373,,snoRNA
ENSG00000234894,,unknown
ENSG00000265419,,unknown
ENSG00000214243,,unknown
ENSG00000226063,,unknown
ENSG00000167588,7500.0,protein-coding
ENSG00000203441,,intergenic
ENSG00000175931,63755.0,protein-coding
ENSG00000203963,139688.0,protein-coding
ENSG00000256358,,unknown
ENSG00000253732,,unknown
ENSG00000252623,,unknown
ENSG00000128052,47336.0,protein-coding
ENSG00000229127,,unknown
ENSG00000232680,,unknown
ENSG00000268220,,unknown
ENSG00000251935,,unknown
ENSG00000200151,,unknown
ENSG00000185873,19067.0,protein-coding
ENSG00000068400,28544.0,protein-coding
ENSG00000236791,,unknown
ENSG00000223638,4161.0,protein-coding
ENSG00000127951,6477.0,protein-coding
ENSG00000261184,,ncRNA
ENSG00000226964,,unknown
ENSG00000213332,,unknown
ENSG00000122862,16705.0,protein-coding
ENSG00000162757,5351.0,protein-coding
ENSG00000138780,138950.0,protein-coding
ENSG00000225704,,unknown
ENSG00000144791,130944.0,protein-coding
ENSG00000248317,,unknown
ENSG00000225295,,unknown
ENSG00000131375,46766.0,protein-coding
ENSG00000224142,,unknown
ENSG00000262151,,unknown
ENSG00000169242,7397.0,protein-coding
ENSG00000266711,,unknown
ENSG00000277285,,unknown
ENSG00000235131,,unknown
ENSG00000240606,,unknown
ENSG00000279265,,unknown
ENSG00000174840,10568.0,protein-coding
ENSG00000255575,,unknown
ENSG00000249843,,unknown
ENSG00000231236,,unknown
ENSG00000214727,,unknown
ENSG00000124215,75584.0,protein-coding
ENSG00000261317,,unknown
ENSG00000255301,,unknown
ENSG00000114023,28158.0,protein-coding
ENSG00000281264,,ncRNA
ENSG00000229571,9207.0,protein-coding
ENSG00000280699,,unknown
ENSG00000206877,,unknown
ENSG00000254722,,unknown
ENSG00000279271,,unknown
ENSG00000004948,150243.0,protein-coding
ENSG00000274683,,unknown
ENSG00000207009,,unknown
ENSG00000224567,,unknown
ENSG00000233735,,unknown
ENSG00000184860,22633.0,protein-coding
ENSG00000203805,132901.0,protein-coding
ENSG00000279177,,unknown
ENSG00000276939,,unknown
ENSG00000224436,,unknown
ENSG00000248901,,unknown
ENSG00000280886,,unknown
ENSG00000163083,5665.0,protein-coding
ENSG00000233342,,unknown
ENSG00000232876,,unknown
ENSG00000232489,,unknown
ENSG00000107295,218047.0,protein-coding
ENSG00000203811,1655.0,protein-coding
ENSG00000238243,944.0,protein-coding
ENSG00000279602,,unknown
ENSG00000130520,17044.0,protein-coding
ENSG00000233243,,unknown
ENSG00000217783,,unknown
ENSG00000274500,,unknown
ENSG00000207803,,microRNA
ENSG00000148153,34310.0,protein-coding
ENSG00000254634,,unknown
ENSG00000258024,,unknown
ENSG00000131732,11707.0,protein-coding
ENSG00000172215,7420.0,protein-coding
ENSG00000224955,,unknown
ENSG00000225094,,unknown
ENSG00000216412,,unknown
ENSG00000255167,,unknown
ENSG00000198561,66303.0,protein-coding
ENSG00000259485,,unknown
ENSG00000277217,,unknown
ENSG00000257918,,unknown
ENSG00000187791,6714.0,protein-coding
ENSG00000266063,,microRNA
ENSG00000207864,,microRNA
ENSG00000255026,,unknown
ENSG00000271475,,unknown
ENSG00000205176,,unknown
ENSG00000266108,,unknown
ENSG00000271992,,unknown
ENSG00000185262,6097.0,protein-coding
ENSG00000126953,3537.0,protein-coding
ENSG00000084733,103347.0,protein-coding
ENSG00000213533,61377.0,protein-coding
ENSG00000240003,,unknown
ENSG00000254018,,unknown
ENSG00000243539,,unknown
ENSG00000256465,,unknown
ENSG00000266293,,unknown
ENSG00000264685,,unknown
ENSG00000207812,,unknown
ENSG00000280997,,ncRNA
ENSG00000274373,,unknown
ENSG00000265417,,unknown
ENSG00000260882,,unknown
ENSG00000250920,,unknown
ENSG00000226313,,unknown
ENSG00000158555,91263.0,protein-coding
ENSG00000252544,,unknown
ENSG00000201279,,unknown
ENSG00000188038,4050.0,protein-coding
ENSG00000131730,33112.0,protein-coding
ENSG00000279812,,unknown
ENSG00000103018,41741.0,protein-coding
ENSG00000148926,2717.0,protein-coding
ENSG00000163686,58187.0,protein-coding
ENSG00000135222,5751.0,protein-coding
ENSG00000010278,38556.0,protein-coding
ENSG00000238024,,unknown
ENSG00000222831,,microRNA
ENSG00000257548,,unknown
ENSG00000255334,,unknown
ENSG00000201204,,unknown
ENSG00000256546,,ncRNA
ENSG00000261552,,unknown
ENSG00000161847,17428.0,protein-coding
ENSG00000279391,,unknown
ENSG00000259499,,unknown
ENSG00000154319,54445.0,protein-coding
ENSG00000258912,,unknown
ENSG00000241186,7929.0,protein-coding
ENSG00000162664,40419.0,protein-coding
ENSG00000265091,,unknown
ENSG00000202472,,unknown
ENSG00000234112,,unknown
ENSG00000274578,,unknown
ENSG00000265872,,microRNA
ENSG00000240995,,unknown
ENSG00000227609,,unknown
ENSG00000226891,,unknown
ENSG00000267968,,unknown
ENSG00000186564,4674.0,protein-coding
ENSG00000265132,,unknown
ENSG00000231744,,unknown
ENSG00000200250,,unknown
ENSG00000242208,,unknown
ENSG00000240043,,unknown
ENSG00000232040,45677.0,protein-coding
ENSG00000213279,,unknown
ENSG00000185585,37727.0,protein-coding
ENSG00000252811,,unknown
ENSG00000211846,,unknown
ENSG00000201728,,unknown
ENSG00000140691,9086.0,protein-coding
ENSG00000223897,,unknown
ENSG00000234259,,unknown
ENSG00000184258,788.0,protein-coding
ENSG00000253380,,ncRNA
ENSG00000103740,78220.0,protein-coding
ENSG00000262732,,unknown
ENSG00000251822,,unknown
ENSG00000278990,,unknown
ENSG00000257289,,unknown
ENSG00000263798,,unknown
ENSG00000236326,,unknown
ENSG00000251347,,unknown
ENSG00000237037,,unknown
ENSG00000265679,,unknown
ENSG00000214900,,intergenic
ENSG00000253907,,unknown
ENSG00000110888,45399.0,protein-coding
ENSG00000224190,,intergenic
ENSG00000227788,,unknown
ENSG00000223989,,unknown
ENSG00000231564,,unknown
ENSG00000047621,50780.0,protein-coding
ENSG00000184635,62551.0,protein-coding
ENSG00000170848,17484.0,protein-coding
ENSG00000180992,14003.0,protein-coding
ENSG00000227947,,unknown
ENSG00000265085,,unknown
ENSG00000236779,,unknown
ENSG00000234124,,pseudo
ENSG00000233655,,unknown
ENSG00000225968,59835.0,protein-coding
ENSG00000269420,,antisense
ENSG00000223381,,unknown
ENSG00000229946,,unknown
ENSG00000267220,,unknown
ENSG00000219133,,unknown
ENSG00000259545,,unknown
ENSG00000245888,,ncRNA
ENSG00000125170,15405.0,protein-coding
ENSG00000248222,,unknown
ENSG00000251246,,unknown
ENSG00000259840,,unknown
ENSG00000203326,26524.0,protein-coding
ENSG00000146858,10323.0,protein-coding
ENSG00000224077,,unknown
ENSG00000275152,5003.0,protein-coding
ENSG00000207925,,microRNA
ENSG00000117533,42087.0,protein-coding
ENSG00000263414,,microRNA
ENSG00000134258,67373.0,protein-coding
ENSG00000221389,,unknown
ENSG00000229599,,unknown
ENSG00000253199,,intergenic
ENSG00000160349,5094.0,protein-coding
ENSG00000176857,,unknown
ENSG00000261621,,unknown
ENSG00000200623,,snoRNA
ENSG00000280916,,unknown
ENSG00000265319,,unknown
ENSG00000239305,20473.0,protein-coding
ENSG00000117016,44978.0,protein-coding
ENSG00000264966,,microRNA
ENSG00000172006,15899.0,protein-coding
ENSG00000231764,,unknown
ENSG00000242220,12532.0,protein-coding
ENSG00000221395,,unknown
ENSG00000171310,306719.0,protein-coding
ENSG00000244061,,unknown
ENSG00000254319,,ncRNA
ENSG00000281294,,unknown
ENSG00000153250,221643.0,protein-coding
ENSG00000239319,,unknown
ENSG00000230869,,unknown
ENSG00000278536,,unknown
ENSG00000237439,,unknown
ENSG00000232273,,unknown
ENSG00000237927,,unknown
ENSG00000173402,66915.0,protein-coding
ENSG00000242498,17950.0,protein-coding
ENSG00000269190,34509.0,protein-coding
ENSG00000221607,,unknown
ENSG00000104381,167742.0,protein-coding
ENSG00000170779,11575.0,protein-coding
ENSG00000201178,,unknown
ENSG00000231086,,unknown
ENSG00000137710,432427.0,protein-coding
ENSG00000280331,,unknown
ENSG00000103811,28516.0,protein-coding
ENSG00000275459,,unknown
ENSG00000231305,,unknown
ENSG00000250186,,unknown
ENSG00000236242,,antisense
ENSG00000280822,,unknown
ENSG00000239210,,unknown
ENSG00000182308,4771.0,protein-coding
ENSG00000154898,,unknown
ENSG00000222148,,unknown
ENSG00000253135,,unknown
ENSG00000189320,20498.0,protein-coding
ENSG00000167701,4201.0,protein-coding
ENSG00000240671,,unknown
ENSG00000125848,14628.0,protein-coding
ENSG00000233926,,ncRNA
ENSG00000215819,,unknown
ENSG00000232121,,unknown
ENSG00000255442,,unknown
ENSG00000205822,,unknown
ENSG00000122218,54714.0,protein-coding
ENSG00000222939,,unknown
ENSG00000114541,372593.0,protein-coding
ENSG00000281017,,unknown
ENSG00000264471,,unknown
ENSG00000263424,,unknown
ENSG00000256953,,unknown
ENSG00000126001,64116.0,protein-coding
ENSG00000237013,,intergenic
ENSG00000139220,501578.0,protein-coding
ENSG00000175066,68080.0,protein-coding
ENSG00000264833,,unknown
ENSG00000258125,,unknown
ENSG00000206913,,unknown
ENSG00000263280,,unknown
ENSG00000133636,8697.0,protein-coding
ENSG00000230631,,unknown
ENSG00000233918,,unknown
ENSG00000253896,,unknown
ENSG00000272102,,unknown
ENSG00000265562,,unknown
ENSG00000173825,2846.0,protein-coding
ENSG00000253806,,unknown
ENSG00000228544,,antisense
ENSG00000274760,,unknown
ENSG00000207428,,unknown
ENSG00000142677,23350.0,protein-coding
ENSG00000247131,,unknown
ENSG00000281096,,unknown
ENSG00000242894,,unknown
ENSG00000258216,,unknown
ENSG00000143545,4741.0,protein-coding
ENSG00000279669,,unknown
ENSG00000280537,,unknown
ENSG00000252328,,unknown
ENSG00000231491,,unknown
ENSG00000206903,,snoRNA
ENSG00000100121,3428.0,protein-coding
ENSG00000100243,31728.0,protein-coding
ENSG00000254303,,unknown
ENSG00000251155,,unknown
ENSG00000269897,13154.0,protein-coding
ENSG00000244124,,unknown
ENSG00000255993,,unknown
ENSG00000251967,,unknown
ENSG00000152684,16106.0,protein-coding
ENSG00000166037,42728.0,protein-coding
ENSG00000258231,,ncRNA
ENSG00000276519,,unknown
ENSG00000140319,3449.0,protein-coding
ENSG00000257435,,unknown
ENSG00000237982,,unknown
ENSG00000259444,,unknown
ENSG00000274886,,unknown
ENSG00000233409,,antisense
ENSG00000258682,,unknown
ENSG00000204682,,ncRNA
ENSG00000005108,461841.0,protein-coding
ENSG00000248557,,unknown
ENSG00000165078,324347.0,protein-coding
ENSG00000254311,,unknown
ENSG00000259685,,unknown
ENSG00000221387,,unknown
ENSG00000229298,,unknown
ENSG00000199031,,microRNA
ENSG00000227474,,unknown
ENSG00000125870,12602.0,protein-coding
ENSG00000100299,5419.0,protein-coding
ENSG00000270060,,unknown
ENSG00000106538,3357.0,protein-coding
ENSG00000149679,18653.0,protein-coding
ENSG00000235660,,unknown
ENSG00000134955,27245.0,protein-coding
ENSG00000122591,124759.0,protein-coding
ENSG00000080618,51838.0,protein-coding
ENSG00000120051,101326.0,protein-coding
ENSG00000250672,,unknown
ENSG00000248547,,unknown
ENSG00000166840,138129.0,protein-coding
ENSG00000269934,,unknown
ENSG00000241097,,unknown
ENSG00000259611,,unknown
ENSG00000227297,,unknown
ENSG00000228391,,unknown
ENSG00000261760,,pseudo
ENSG00000256083,,unknown
ENSG00000281910,,snoRNA
ENSG00000278333,,unknown
ENSG00000230809,,unknown
ENSG00000197056,83687.0,protein-coding
ENSG00000222726,,unknown
ENSG00000200105,,unknown
ENSG00000267058,,ncRNA
ENSG00000183166,667660.0,protein-coding
ENSG00000168671,36341.0,protein-coding
ENSG00000237026,,unknown
ENSG00000271970,,unknown
ENSG00000276857,,microRNA
ENSG00000132329,53221.0,protein-coding
ENSG00000230394,,unknown
ENSG00000171503,37498.0,protein-coding
ENSG00000251748,,unknown
ENSG00000222174,,unknown
ENSG00000059915,18922.0,protein-coding
ENSG00000242565,,unknown
ENSG00000241929,,unknown
ENSG00000196228,18156.0,protein-coding
ENSG00000243485,,unknown
ENSG00000154099,33480.0,protein-coding
ENSG00000230071,,unknown
ENSG00000198498,26097.0,protein-coding
ENSG00000280436,,unknown
ENSG00000249574,,ncRNA
ENSG00000242675,,unknown
ENSG00000261011,,unknown
ENSG00000274883,,unknown
ENSG00000237849,,unknown
ENSG00000213331,,unknown
ENSG00000101191,60214.0,protein-coding
ENSG00000236180,,unknown
ENSG00000253070,,unknown
ENSG00000163497,4570.0,protein-coding
ENSG00000259286,,unknown
ENSG00000171385,218493.0,protein-coding
ENSG00000183981,,unknown
ENSG00000139531,9461.0,protein-coding
ENSG00000183114,2571.0,protein-coding
ENSG00000241667,,unknown
ENSG00000253341,,unknown
ENSG00000212446,,unknown
ENSG00000253745,,unknown
ENSG00000113580,157581.0,protein-coding
ENSG00000227043,,unknown
ENSG00000222035,,unknown
ENSG00000211893,,unknown
ENSG00000212258,,unknown
ENSG00000271466,,unknown
ENSG00000221257,,unknown
ENSG00000270583,,unknown
ENSG00000136999,8047.0,protein-coding
ENSG00000118407,201879.0,protein-coding
ENSG00000277610,,snRNA
ENSG00000085224,281355.0,protein-coding
ENSG00000229572,,unknown
ENSG00000181552,2521.0,protein-coding
ENSG00000259255,,unknown
ENSG00000213079,100919.0,protein-coding
ENSG00000270699,,unknown
ENSG00000271410,,unknown
ENSG00000263501,,unknown
ENSG00000264645,,unknown
ENSG00000261757,,unknown
ENSG00000238518,,unknown
ENSG00000100997,96240.0,protein-coding
ENSG00000226534,,unknown
ENSG00000100504,86845.0,protein-coding
ENSG00000239539,,unknown
ENSG00000278832,,unknown
ENSG00000255430,,unknown
ENSG00000206651,,unknown
ENSG00000221247,,unknown
ENSG00000232226,,unknown
ENSG00000221962,,pseudo
ENSG00000251228,,unknown
ENSG00000116161,12552.0,protein-coding
ENSG00000248441,,intergenic
ENSG00000105926,120925.0,protein-coding
ENSG00000264701,,unknown
ENSG00000229142,,unknown
ENSG00000271580,,unknown
ENSG00000238724,,unknown
ENSG00000275971,,unknown
ENSG00000276922,,unknown
ENSG00000272837,,unknown
ENSG00000064692,152865.0,protein-coding
ENSG00000275227,,unknown
ENSG00000226726,,unknown
ENSG00000267905,,unknown
ENSG00000229178,,unknown
ENSG00000107447,34168.0,protein-coding
ENSG00000050405,107758.0,protein-coding
ENSG00000257543,,unknown
ENSG00000226543,,unknown
ENSG00000252230,,unknown
ENSG00000235165,,unknown
ENSG00000258352,,unknown
ENSG00000229659,,unknown
ENSG00000182541,67841.0,protein-coding
ENSG00000279611,,unknown
ENSG00000207480,,unknown
ENSG00000223584,,unknown
ENSG00000255160,,unknown
ENSG00000172943,112282.0,protein-coding
ENSG00000240305,,unknown
ENSG00000168259,44943.0,protein-coding
ENSG00000102760,13323.0,protein-coding
