124538	OR4D2	olfactory receptor, family 4, subfamily D, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26740	OR1J2	olfactory receptor, family 1, subfamily J, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION	REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
338755	OR2AG2	olfactory receptor, family 2, subfamily AG, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
138805	OR13F1	olfactory receptor, family 13, subfamily F, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
138802	OR13C8	olfactory receptor, family 13, subfamily C, member 8	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
392376	OR13C2	olfactory receptor, family 13, subfamily C, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
138799	OR13C5	olfactory receptor, family 13, subfamily C, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
122748	OR11H6	olfactory receptor, family 11, subfamily H, member 6	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390326	OR6C76	olfactory receptor, family 6, subfamily C, member 76	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
341152	OR2AT4	olfactory receptor, family 2, subfamily AT, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
26707	OR2J2	olfactory receptor, family 2, subfamily J, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS	KEGG_OLFACTORY_TRANSDUCTION		GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
390148	OR5W2	olfactory receptor, family 5, subfamily W, member 2	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS		REACTOME_OLFACTORY_SIGNALING_PATHWAY	GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
403278	OR5K4	olfactory receptor, family 5, subfamily K, member 4	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
403273	OR5H14	olfactory receptor, family 5, subfamily H, member 14	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
403274	OR5H15	olfactory receptor, family 5, subfamily H, member 15	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
403277	OR5K3	olfactory receptor, family 5, subfamily K, member 3	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
81466	OR2L5	olfactory receptor, family 2, subfamily L, member 5	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
401663	OR51H1P	olfactory receptor, family 51, subfamily H, member 1 pseudogene	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
283110	OR52Z1	olfactory receptor, family 52, subfamily Z, member 1 (gene/pseudogene)	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
79549	OR6J1	olfactory receptor, family 6, subfamily J, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
121129	OR2AP1	olfactory receptor, family 2, subfamily AP, member 1	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
441308	OR4F21	olfactory receptor, family 4, subfamily F, member 21	GO_OLFACTORY_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
80834	TAS1R2	taste receptor, type 1, member 2		GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
50837	TAS2R7	taste receptor, type 2, member 7		GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
50833	TAS2R16	taste receptor, type 2, member 16		GO_SENSORY_PERCEPTION_OF_CHEMICAL_STIMULUS	GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
2652	OPN1MW	opsin 1 (cone pigments), medium-wave-sensitive			GO_DETECTION_OF_STIMULUS			GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	GO_SENSORY_PERCEPTION	GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
5470	PPEF2	protein phosphatase, EF-hand calcium binding domain 2			GO_DETECTION_OF_STIMULUS				GO_SENSORY_PERCEPTION		GO_NEUROLOGICAL_SYSTEM_PROCESS	
5146	PDE6C	phosphodiesterase 6C, cGMP-specific, cone, alpha prime			GO_DETECTION_OF_STIMULUS				GO_SENSORY_PERCEPTION		GO_NEUROLOGICAL_SYSTEM_PROCESS	
161497	STRC	stereocilin			GO_DETECTION_OF_STIMULUS				GO_SENSORY_PERCEPTION		GO_NEUROLOGICAL_SYSTEM_PROCESS	
10343	PKDREJ	polycystic kidney disease (polycystin) and REJ homolog (sperm receptor for egg jelly homolog, sea urchin)			GO_DETECTION_OF_STIMULUS							
59340	HRH4	histamine receptor H4						GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY		GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_SIGNALING_RECEPTOR_ACTIVITY
4829	NMBR	neuromedin B receptor						GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY		GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_SIGNALING_RECEPTOR_ACTIVITY
353174	ZACN	zinc activated ligand-gated ion channel						GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY		GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_SIGNALING_RECEPTOR_ACTIVITY
317701	VN1R2	vomeronasal 1 receptor 2						GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY		GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_SIGNALING_RECEPTOR_ACTIVITY
2853	GPR31	G protein-coupled receptor 31						GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY		GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_SIGNALING_RECEPTOR_ACTIVITY
2856	GPR33	G protein-coupled receptor 33 (gene/pseudogene)						GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY		GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_SIGNALING_RECEPTOR_ACTIVITY
2866	GPR42	G protein-coupled receptor 42 (gene/pseudogene)						GO_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY		GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		GO_SIGNALING_RECEPTOR_ACTIVITY
7442	TRPV1	transient receptor potential cation channel, subfamily V, member 1							GO_SENSORY_PERCEPTION		GO_NEUROLOGICAL_SYSTEM_PROCESS	GO_SIGNALING_RECEPTOR_ACTIVITY
4284	MIP	major intrinsic protein of lens fiber							GO_SENSORY_PERCEPTION		GO_NEUROLOGICAL_SYSTEM_PROCESS	
643226	GRXCR2	glutaredoxin, cysteine rich 2							GO_SENSORY_PERCEPTION		GO_NEUROLOGICAL_SYSTEM_PROCESS	
7252	TSHB	thyroid stimulating hormone, beta								GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		
256933	NPB	neuropeptide B								GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		
11036	GTF2A1L	general transcription factor IIA, 1-like									GO_NEUROLOGICAL_SYSTEM_PROCESS	
378807	CATSPER4	cation channel, sperm associated 4									GO_NEUROLOGICAL_SYSTEM_PROCESS	
54106	TLR9	toll-like receptor 9										GO_SIGNALING_RECEPTOR_ACTIVITY
8503	PIK3R3	phosphoinositide-3-kinase, regulatory subunit 3 (gamma)										
353376	TICAM2	toll-like receptor adaptor molecule 2										
3441	IFNA4	interferon, alpha 4										
3452	IFNA21	interferon, alpha 21										
3449	IFNA16	interferon, alpha 16										
3444	IFNA7	interferon, alpha 7										
3439	IFNA1	interferon, alpha 1										
3445	IFNA8	interferon, alpha 8										
3448	IFNA14	interferon, alpha 14										
3442	IFNA5	interferon, alpha 5										
286430	NLRP2P	NLR family, pyrin domain containing 2 pseudogene										
152138	PYDC2	pyrin domain containing 2										
5449	POU1F1	POU class 1 homeobox 1										
338323	NLRP14	NLR family, pyrin domain containing 14										
333932	HIST2H3A	histone cluster 2, H3a										
285643	KIF4B	kinesin family member 4B										
83942	TSSK1B	testis-specific serine kinase 1B										
139741	ACTRT1	actin-related protein T1										
404220	C6orf201	chromosome 6 open reading frame 201										
440163	RNASE13	ribonuclease, RNase A family, 13 (non-active)										
55998	NXF5	nuclear RNA export factor 5										
56903	PAPOLB	poly(A) polymerase beta (testis specific)										
100506164	HSFX1	heat shock transcription factor family, X linked 1										
85376	RIMBP3	RIMS binding protein 3										
404037	HAPLN4	hyaluronan and proteoglycan link protein 4										
131831	FAM194A	family with sequence similarity 194, member A										
219557	C7orf62	chromosome 7 open reading frame 62										
6953	TCP10	t-complex 10 homolog (mouse)										
407977	TNFSF12-TNFSF13	TNFSF12-TNFSF13 readthrough										
100134934	TEN1	TEN1 telomerase capping complex subunit homolog (S. cerevisiae)										
151112	ZSWIM2	zinc finger, SWIM-type containing 2										
60677	CELF6	CUGBP, Elav-like family member 6										
285641	SLC36A3	solute carrier family 36 (proton/amino acid symporter), member 3										
123970	C16orf78	chromosome 16 open reading frame 78										
26083	TBC1D29	TBC1 domain family, member 29										
100288797	TMEM239	transmembrane protein 239										
388649	C1orf146	chromosome 1 open reading frame 146										
245909	DEFB106A	defensin, beta 106A										
159163	RBMY1F	RNA binding motif protein, Y-linked, family 1, member F										
23519	ANP32D	acidic (leucine-rich) nuclear phosphoprotein 32 family, member D										
2712	GK2	glycerol kinase 2										
285877	POM121L12	POM121 membrane glycoprotein-like 12										
414059	TBC1D3B	TBC1 domain family, member 3B										
4101	MAGEA2	melanoma antigen family A, 2										
266740	MAGEA2B	melanoma antigen family A, 2B										
6757	SSX2	synovial sarcoma, X breakpoint 2										
100132406	NBPF10	neuroblastoma breakpoint family, member 10										
378950	RBMY1E	RNA binding motif protein, Y-linked, family 1, member E										
727851	RGPD8	RANBP2-like and GRIP domain containing 8										
122011	CSNK1A1L	casein kinase 1, alpha 1-like										
343069	HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 1										
445815	PALM2-AKAP2	PALM2-AKAP2 readthrough										
552891	DNAJC25-GNG10	DNAJC25-GNG10 readthrough										
245939	DEFB128	defensin, beta 128										
441294	CTAGE15P	CTAGE family, member 15, pseudogene										
554313	HIST2H4B	histone cluster 2, H4b										
150160	CCT8L2	chaperonin containing TCP1, subunit 8 (theta)-like 2										
653505	PPIAL4B	peptidylprolyl isomerase A (cyclophilin A)-like 4B										
653598	PPIAL4C	peptidylprolyl isomerase A (cyclophilin A)-like 4C										
728945	PPIAL4F	peptidylprolyl isomerase A (cyclophilin A)-like 4F										
730262	PPIAL4E	peptidylprolyl isomerase A (cyclophilin A)-like 4E										
645142	PPIAL4D	peptidylprolyl isomerase A (cyclophilin A)-like 4D										
56001	NXF2	nuclear RNA export factor 2										
728343	NXF2B	nuclear RNA export factor 2B										
11055	ZPBP	zona pellucida binding protein										
6677	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)										
54586	C9orf11	chromosome 9 open reading frame 11										
494551	WEE2	WEE1 homolog 2 (S. pombe)										
317719	KLHL10	kelch-like 10 (Drosophila)										
84203	TXNDC2	thioredoxin domain containing 2 (spermatozoa)										
222659	PXT1	peroxisomal, testis specific 1										
81616	ACSBG2	acyl-CoA synthetase bubblegum family member 2										
140894	C20orf152	chromosome 20 open reading frame 152										
146310	RNF151	ring finger protein 151										
57135	DAZ4	deleted in azoospermia 4										
57054	DAZ3	deleted in azoospermia 3										
337977	KRTAP21-1	keratin associated protein 21-1										
254950	KRTAP15-1	keratin associated protein 15-1										
337979	KRTAP22-1	keratin associated protein 22-1										
386684	KRTAP12-4	keratin associated protein 12-4										
337969	KRTAP19-2	keratin associated protein 19-2										
337960	KRTAP13-3	keratin associated protein 13-3										
337985	KRTAP20-3	keratin associated protein 20-3										
100131902	KRTAP25-1	keratin associated protein 25-1										
84070	FAM186B	family with sequence similarity 186, member B										
121006	FAM186A	family with sequence similarity 186, member A										
283471	TMPRSS12	transmembrane (C-terminal) protease, serine 12										
8940	TOP3B	topoisomerase (DNA) III beta										
729020	LOC729020	rcRPE										
165721	DNAJB8	DnaJ (Hsp40) homolog, subfamily B, member 8										
728489	DNLZ	DNL-type zinc finger										
349334	FOXD4L4	forkhead box D4-like 4										
286380	FOXD4L3	forkhead box D4-like 3										
445571	CBWD3	COBW domain containing 3										
152586	LOC152586	glycosyltransferase 54 domain-containing protein										
133491	C5orf47	chromosome 5 open reading frame 47										
728656	DMRTC1B	DMRT-like family C1B										
56158	TEX12	testis expressed 12										
642623	UBTFL1	upstream binding transcription factor, RNA polymerase I-like 1										
9081	PRY	PTPN13-like, Y-linked										
339168	TMEM95	transmembrane protein 95										
94026	POM121L2	POM121 membrane glycoprotein-like 2										
165100	C2orf57	chromosome 2 open reading frame 57										
168433	RNF133	ring finger protein 133										
54065	FAM165B	family with sequence similarity 165, member B										
158297	FAM154A	family with sequence similarity 154, member A										
84075	FSCB	fibrous sheath CABYR binding protein										
7730	ZNF177	zinc finger protein 177										
388677	NOTCH2NL	notch 2 N-terminal like										
96626	LIMS3	LIM and senescent cell antigen-like domains 3										
254158	CXorf58	chromosome X open reading frame 58										
6818	SULT1A3	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3										
445329	SULT1A4	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 4										
729201	SPACA5B	sperm acrosome associated 5B										
389852	SPACA5	sperm acrosome associated 5										
158724	FAM47A	family with sequence similarity 47, member A										
375316	RBM44	RNA binding motif protein 44										
276	AMY1A	amylase, alpha 1A (salivary)										
9389	SLC22A14	solute carrier family 22, member 14										
282966	C10orf53	chromosome 10 open reading frame 53										
8293	SERF1A	small EDRK-rich factor 1A (telomeric)										
158506	ZNF645	zinc finger protein 645										
729873	TBC1D3	TBC1 domain family, member 3										
221504	ZBTB9	zinc finger and BTB domain containing 9										
441381	LRRC24	leucine rich repeat containing 24										
7571	ZNF23	zinc finger protein 23 (KOX 16)										
283579	C14orf178	chromosome 14 open reading frame 178										
285555	C4orf37	chromosome 4 open reading frame 37										
340307	CTAGE6P	CTAGE family, member 6, pseudogene										
554226	ANKRD30BL	ankyrin repeat domain 30B-like										
79008	SLX1B	SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)										
548593	SLX1A	SLX1 structure-specific endonuclease subunit homolog A (S. cerevisiae)										
100130086	HSFX2	heat shock transcription factor family, X linked 2										
474383	F8A2	coagulation factor VIII-associated 2										
100131980	ZNF705G	zinc finger protein 705G										
643677	CCDC168	coiled-coil domain containing 168										
728637	LOC728637	uncharacterized LOC728637										
84126	ATRIP	ATR interacting protein										
10738	RFPL3	ret finger protein-like 3										
317754	POTED	POTE ankyrin domain family, member D										
54752	FNDC8	fibronectin type III domain containing 8										
93034	NT5C1B	5'-nucleotidase, cytosolic IB										
345222	C4orf44	chromosome 4 open reading frame 44										
164592	CCDC116	coiled-coil domain containing 116										
729059	LOC729059	uncharacterized LOC729059										
81025	GJA9	gap junction protein, alpha 9, 59kDa										
150221	RIMBP3C	RIMS binding protein 3C										
147323	STARD6	StAR-related lipid transfer (START) domain containing 6										
339669	C22orf33	chromosome 22 open reading frame 33										
594855	CPLX3	complexin 3										
162699	TCEB3C	transcription elongation factor B polypeptide 3C (elongin A3)										
728929	TCEB3CL	transcription elongation factor B polypeptide 3C-like										
100506888	LOC100506888	transcription elongation factor B polypeptide 3C-like										
55300	PI4K2B	phosphatidylinositol 4-kinase type 2 beta										
29057	FAM156A	family with sequence similarity 156, member A										
401285	TCP10L2	t-complex 10-like 2 (mouse)										
653404	FOXD4L6	forkhead box D4-like 6										
653427	FOXD4L5	forkhead box D4-like 5										
728747	ANKRD20A4	ankyrin repeat domain 20 family, member A4										
280658	SSX7	synovial sarcoma, X breakpoint 7										
727866	FAM156B	family with sequence similarity 156, member B										
727837	SSX2B	synovial sarcoma, X breakpoint 2B										
286527	TMSB15B	thymosin beta 15B										
440560	PRAMEF11	PRAME family member 11										
65121	PRAMEF1	PRAME family member 1										
221357	GSTA5	glutathione S-transferase alpha 5										
646754	TRIM64C	tripartite motif containing 64C										
163051	ZNF709	zinc finger protein 709										
123904	NRN1L	neuritin 1-like										
152065	C3orf22	chromosome 3 open reading frame 22										
127255	LRRIQ3	leucine-rich repeats and IQ motif containing 3										
645832	SEBOX	SEBOX homeobox										
373509	USP50	ubiquitin specific peptidase 50										
124056	NOXO1	NADPH oxidase organizer 1										
91894	C11orf52	chromosome 11 open reading frame 52										
100129924	LOC100129924	uncharacterized LOC100129924										
51086	TNNI3K	TNNI3 interacting kinase										
374973	ATPAF1-AS1	ATPAF1 antisense RNA 1 (non-protein coding)										
100499483	C9orf174	chromosome 9 open reading frame 174										
160419	C12orf50	chromosome 12 open reading frame 50										
149647	FAM71A	family with sequence similarity 71, member A										
100288695	LIMS3L	LIM and senescent cell antigen-like domains 3-like										
347541	MAGEB5	melanoma antigen family B, 5										
645426	TMEM191C	transmembrane protein 191C										
150353	DNAJB7	DnaJ (Hsp40) homolog, subfamily B, member 7										
59335	PRDM12	PR domain containing 12										
118856	MMP21	matrix metallopeptidase 21										
402635	GRIFIN	galectin-related inter-fiber protein										
390502	SERPINA2	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 2										
200008	CDCP2	CUB domain containing protein 2										
386724	AMIGO3	adhesion molecule with Ig-like domain 3										
51326	ARL17A	ADP-ribosylation factor-like 17A										
441430	ANKRD20A2	ankyrin repeat domain 20 family, member A2										
84210	ANKRD20A1	ankyrin repeat domain 20 family, member A1										
284083	C17orf47	chromosome 17 open reading frame 47										
692312	PPAN-P2RY11	PPAN-P2RY11 readthrough										
169966	FAM46D	family with sequence similarity 46, member D										
84133	ZNRF3	zinc and ring finger 3										
100272147	MTCP1NB	mature T-cell proliferation 1 neighbor										
83884	SLC25A2	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 2										
728118	FAM22A	family with sequence similarity 22, member A										
140947	C5orf20	chromosome 5 open reading frame 20										
389898	UBE2NL	ubiquitin-conjugating enzyme E2N-like										
